var_num,refs,nrefs,texp,mix,longmean,shortscale,Ne,ref_Ne,preLGM_Ne,preLGM_t,mu,G,foundNe,nloci,locus_length
1,"c(17,17)",1,20000,0.001,1,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
2,"c(17,17)",1,5000,0.001,1,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
3,"c(17,17)",1,20000,0.1,1,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
4,"c(17,17)",1,5000,0.1,1,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
5,"c(17,17)",1,20000,0.001,1,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
6,"c(17,17)",1,5000,0.001,1,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
7,"c(17,17)",1,20000,0.1,1,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
8,"c(17,17)",1,5000,0.1,1,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
9,"c(17,17)",1,20000,0.001,2,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
10,"c(17,17)",1,5000,0.001,2,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
11,"c(17,17)",1,20000,0.1,2,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
12,"c(17,17)",1,5000,0.1,2,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
13,"c(17,17)",1,20000,0.001,2,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
14,"c(17,17)",1,5000,0.001,2,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
15,"c(17,17)",1,20000,0.1,2,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
16,"c(17,17)",1,5000,0.1,2,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
17,"c(17,17)",1,20000,0.001,4,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
18,"c(17,17)",1,5000,0.001,4,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
19,"c(17,17)",1,20000,0.1,4,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
20,"c(17,17)",1,5000,0.1,4,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
21,"c(17,17)",1,20000,0.001,4,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
22,"c(17,17)",1,5000,0.001,4,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
23,"c(17,17)",1,20000,0.1,4,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
24,"c(17,17)",1,5000,0.1,4,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
25,"c(17,29)",2,20000,0.001,1,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
26,"c(17,29)",2,5000,0.001,1,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
27,"c(17,29)",2,20000,0.1,1,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
28,"c(17,29)",2,5000,0.1,1,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
29,"c(17,29)",2,20000,0.001,1,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
30,"c(17,29)",2,5000,0.001,1,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
31,"c(17,29)",2,20000,0.1,1,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
32,"c(17,29)",2,5000,0.1,1,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
33,"c(17,29)",2,20000,0.001,2,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
34,"c(17,29)",2,5000,0.001,2,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
35,"c(17,29)",2,20000,0.1,2,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
36,"c(17,29)",2,5000,0.1,2,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
37,"c(17,29)",2,20000,0.001,2,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
38,"c(17,29)",2,5000,0.001,2,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
39,"c(17,29)",2,20000,0.1,2,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
40,"c(17,29)",2,5000,0.1,2,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
41,"c(17,29)",2,20000,0.001,4,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
42,"c(17,29)",2,5000,0.001,4,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
43,"c(17,29)",2,20000,0.1,4,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
44,"c(17,29)",2,5000,0.1,4,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
45,"c(17,29)",2,20000,0.001,4,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
46,"c(17,29)",2,5000,0.001,4,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
47,"c(17,29)",2,20000,0.1,4,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
48,"c(17,29)",2,5000,0.1,4,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
49,"c(17,29,208)",3,20000,0.001,1,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
50,"c(17,29,208)",3,5000,0.001,1,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
51,"c(17,29,208)",3,20000,0.1,1,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
52,"c(17,29,208)",3,5000,0.1,1,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
53,"c(17,29,208)",3,20000,0.001,1,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
54,"c(17,29,208)",3,5000,0.001,1,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
55,"c(17,29,208)",3,20000,0.1,1,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
56,"c(17,29,208)",3,5000,0.1,1,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
57,"c(17,29,208)",3,20000,0.001,2,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
58,"c(17,29,208)",3,5000,0.001,2,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
59,"c(17,29,208)",3,20000,0.1,2,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
60,"c(17,29,208)",3,5000,0.1,2,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
61,"c(17,29,208)",3,20000,0.001,2,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
62,"c(17,29,208)",3,5000,0.001,2,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
63,"c(17,29,208)",3,20000,0.1,2,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
64,"c(17,29,208)",3,5000,0.1,2,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
65,"c(17,29,208)",3,20000,0.001,4,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
66,"c(17,29,208)",3,5000,0.001,4,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
67,"c(17,29,208)",3,20000,0.1,4,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
68,"c(17,29,208)",3,5000,0.1,4,0.1,100,100,5000,100000,1.00E-07,10,50,1000,80
69,"c(17,29,208)",3,20000,0.001,4,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
70,"c(17,29,208)",3,5000,0.001,4,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
71,"c(17,29,208)",3,20000,0.1,4,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
72,"c(17,29,208)",3,5000,0.1,4,0.1,500,500,5000,100000,1.00E-07,10,50,1000,80
